,month_year,cbsa_code,site,sample
485,06-2016,19820,0036,7.6
486,06-2016,19820,0039,7.953333333333333
487,06-2016,19820,0093,12.262936046511614
488,06-2016,19820,0095,8.760000000000002
489,06-2016,20100,0002,6.796106557377055
490,06-2016,20100,0003,6.355555555555557
483,06-2016,19820,0025,7.9799999999999995
492,06-2016,31080,0002,13.9
494,06-2016,31080,1103,14.348571428571429
495,06-2016,31080,1201,12.677777777777777
496,06-2016,31080,1302,10.930000000000003
497,06-2016,31080,1602,12.939999999999998
498,06-2016,31080,2005,12.540000000000001
499,06-2016,31080,2022,9.360000000000001
493,06-2016,31080,0007,9.526666666666667
374,05-2016,16980,3103,9.278571428571428
377,05-2016,16980,4007,8.52
376,05-2016,16980,4002,7.8
375,05-2016,16980,3301,9.35
371,05-2016,16980,1011,6.42
373,05-2016,16980,2004,7.909999999999999
372,05-2016,16980,1016,10.442857142857141
379,05-2016,16980,6005,9.340000000000002
370,05-2016,16980,1002,8.616666666666667
378,05-2016,16980,4201,6.7749999999999995
383,05-2016,17460,0038,9.419999999999998
380,05-2016,17460,0004,7.094992175273863
381,05-2016,17460,0007,7.9399999999999995
382,05-2016,17460,0034,8.379999999999999
384,05-2016,17460,0045,9.799999999999999
385,05-2016,17460,0060,10.5
386,05-2016,17460,0065,10.72
387,05-2016,17460,1002,7.9
388,05-2016,17460,3002,7.049999999999999
389,05-2016,19820,0001,8.826829268292684
368,05-2016,16980,0057,8.98
369,05-2016,16980,0076,8.72
416,05-2016,32580,0043,13.86
367,05-2016,16980,0052,8.32
366,05-2016,16980,0031,9.066666666666666
391,05-2016,19820,0009,7.13
348,05-2016,10300,0007,7.657142857142857
349,05-2016,10420,0002,6.2
350,05-2016,10420,0017,9.830892143808253
351,05-2016,10420,0023,7.039999999999999
352,05-2016,11460,0008,7.126666666666665
353,05-2016,12100,0006,7.417291066282416
354,05-2016,12100,1006,6.49
355,05-2016,15180,0006,15.133333333333333
356,05-2016,15940,0017,9.379999999999997
357,05-2016,15940,0020,4.723529411764706
358,05-2016,16980,0001,7.072727272727271
359,05-2016,16980,0003,8.444444444444445
360,05-2016,16980,0006,8.655555555555555
361,05-2016,16980,0007,7.849999999999999
362,05-2016,16980,0019,8.790000000000001
363,05-2016,16980,0022,6.667931937172783
364,05-2016,16980,0024,5.829683377308712
365,05-2016,16980,0026,10.139999999999997
390,05-2016,19820,0005,6.88
427,05-2016,40140,0027,13.215051903114174
392,05-2016,19820,0015,10.91
425,05-2016,39740,0011,11.311772315653297
417,05-2016,32580,1046,12.960000000000003
418,05-2016,33140,0011,6.9
419,05-2016,33780,0006,8.24
420,05-2016,37100,0007,9.663072776280323
421,05-2016,37100,0009,8.338315217391305
422,05-2016,37100,1004,9.80161943319838
393,05-2016,19820,0016,8.62
424,05-2016,37100,3001,7.467654986522911
426,05-2016,40140,0009,8.08236092265943
414,05-2016,31080,4008,10.441739130434778
428,05-2016,40140,0306,4.682978723404255
429,05-2016,40140,1016,13.566
430,05-2016,40140,2002,8.394736842105264
431,05-2016,40140,5001,5.2700000000000005
432,05-2016,40140,8001,10.009756097560974
433,05-2016,40140,8005,11.623529411764709
434,05-2016,40140,9004,8.32
435,05-2016,47220,0007,6.918442622950821
415,05-2016,31080,9033,8.240485829959512
423,05-2016,37100,2002,9.425775978407557
413,05-2016,31080,4004,6.606451612903225
403,05-2016,22420,0021,6.82
394,05-2016,19820,0019,8.04
412,05-2016,31080,4002,7.449999999999998
396,05-2016,19820,0033,10.053333333333333
397,05-2016,19820,0036,7.41111111111111
398,05-2016,19820,0039,8.050000000000002
399,05-2016,19820,0093,15.349568965517252
400,05-2016,19820,0095,8.33
401,05-2016,20100,0002,6.640000000000001
402,05-2016,20100,0003,6.640000000000001
